Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Koping,"175,941","179,012","175,492","174,523","176,801","180,896","184,176","192,840","201,545","207,018","210,693","214,882","220,140","224,584","227,769","228,478","233,190","234,401","233,924","229,364","230,747","236,204","240,379","246,149","254,151","259,646","263,581"
Arboga,"179,202","181,785","178,008","175,857","178,369","184,414","187,273","194,270","203,830","207,959","211,249","215,275","217,219","222,477","225,900","227,037","229,332","231,083","234,859","228,539","227,110","231,919","236,995","239,065","244,782","252,602","257,335"
DALARNAS LAN,"173,673","177,348","174,697","174,962","176,637","180,960","184,500","192,424","199,937","204,325","207,467","212,774","217,244","222,177","226,190","229,613","232,199","233,681","238,904","236,441","234,997","240,859","247,087","251,100","257,836","263,776","267,288"
Vansbro,"151,414","157,103","155,492","157,210","158,830","163,297","170,795","177,460","185,149","188,410","191,063","196,350","200,285","203,578","206,929","207,941","206,444","205,865","209,085","208,365","205,595","210,862","214,748","219,788","227,815","233,332","238,651"
Malung,"164,316","167,780","168,472","168,316","171,671","175,188","177,496","185,104","189,487","192,206","195,057","201,819","206,512","210,739","215,212","220,116","220,055","219,310","223,536","225,107","222,312","226,176","232,054","236,330","243,243","251,324","256,502"
Gagnef,"168,711","173,604","168,207","167,149","169,313","175,088","178,916","188,268","196,002","201,243","205,049","210,200","212,989","218,874","222,713","228,411","230,953","232,099","235,549","235,352","235,907","245,151","251,423","255,757","262,358","268,467","272,702"
Leksand,"164,316","168,473","167,412","167,877","170,109","174,670","177,000","185,230","192,742","197,981","203,168","207,671","212,286","217,571","222,867","227,377","229,508","231,132","236,653","235,129","234,469","239,601","246,694","249,311","258,335","263,925","265,978"
Rattvik,"156,944","161,818","158,406","159,183","160,511","164,518","168,121","174,925","182,099","185,413","189,272","194,493","199,270","204,356","207,321","211,602","213,942","214,395","220,157","219,352","215,725","221,166","228,052","230,263","236,139","243,580","247,660"
Orsa,"157,936","161,956","161,982","162,219","163,806","168,187","171,362","178,289","184,833","187,794","188,129","195,957","201,619","205,277","207,685","209,760","209,955","209,323","212,853","209,090","204,949","212,190","215,790","219,546","230,760","238,937","239,100"
Alvdalen,"158,645","163,343","161,982","162,574","166,000","166,744","170,161","177,248","185,238","186,061","187,781","194,953","199,159","203,905","207,736","209,640","209,685","211,217","216,979","215,872","213,784","216,234","224,408","227,537","236,237","249,189","246,406"
Smedjebacken,"178,068","183,310","180,127","182,811","185,032","188,974","191,931","200,723","206,583","211,530","214,980","220,651","225,553","229,396","232,707","235,721","239,861","242,577","245,788","238,248","239,305","245,966","252,259","256,068","261,240","265,793","271,757"
Mora,"171,263","175,268","173,770","175,214","176,118","179,707","183,576","192,911","201,128","204,772","207,473","213,798","219,043","223,238","227,501","229,581","231,557","232,395","237,986","234,551","233,744","238,258","245,444","251,479","257,938","266,019","271,188"
Falun,"185,440","188,025","185,690","185,398","185,378","190,010","194,040","201,597","209,384","213,717","216,753","221,627","226,123","231,901","236,188","240,803","244,504","246,560","252,692","249,849","249,371","256,578","262,407","268,516","276,078","282,628","285,632"
Borlange,"182,179","184,835","180,260","178,838","180,254","184,768","187,915","195,904","204,391","209,221","213,641","218,289","222,327","228,076","232,160","234,757","238,621","240,217","243,896","239,790","238,337","243,097","249,829","253,363","262,070","266,631","270,169"
Sater,"171,688","175,406","172,445","173,991","174,791","180,764","185,730","196,334","202,465","208,530","211,288","216,052","219,354","225,719","230,457","233,530","235,752","239,413","245,994","245,617","241,787","247,292","254,361","259,734","267,793","276,013","279,445"
Hedemora,"170,696","173,881","170,326","171,150","173,448","177,423","181,644","189,837","197,459","202,982","205,948","209,798","213,546","219,955","221,331","223,974","227,994","228,968","234,414","233,217","231,373","234,554","237,774","241,093","247,226","254,029","254,844"
Avesta,"175,232","177,902","175,757","176,934","178,369","184,176","188,289","196,173","204,323","207,564","211,259","217,769","223,733","227,975","231,177","233,709","235,502","237,086","243,229","241,180","240,769","246,340","248,831","248,690","248,815","255,163","258,627"
Ludvika,"172,822","177,486","175,227","176,486","178,691","183,191","186,250","194,274","201,700","204,949","207,827","212,192","216,565","220,318","223,682","227,268","230,767","232,485","239,948","237,230","234,942","241,650","249,586","250,828","255,712","258,180","261,946"
GAVLEBORGS LAN,"172,964","177,486","174,432","174,887","177,049","182,102","185,484","193,426","201,065","205,666","208,091","212,196","216,241","220,365","224,401","227,760","230,743","232,599","236,974","234,784","233,692","237,496","243,525","245,761","252,113","258,881","263,207"
Ockelbo,"158,078","163,482","161,717","163,270","164,883","169,811","173,481","181,189","186,775","191,166","194,755","198,131","205,436","209,715","214,536","218,962","219,692","223,423","227,975","226,487","220,124","225,793","231,624","231,519","235,554","241,898","245,364"
Hofors,"182,321","187,470","183,041","186,189","188,151","195,191","197,698","205,433","210,869","214,726","215,341","219,635","223,368","228,837","232,931","236,365","238,177","241,954","243,553","241,578","239,328","243,477","249,637","254,398","259,056","265,159","268,397"
Ovanaker,"160,913","166,116","164,764","165,107","167,576","169,591","174,296","182,512","188,500","193,414","194,331","199,855","205,579","211,581","217,192","222,334","225,528","226,795","228,580","225,975","228,716","231,852","233,399","234,506","243,049","248,496","253,985"
Nordanstig,"155,242","159,738","157,214","158,346","160,772","164,642","170,325","177,731","186,013","189,905","193,194","200,739","204,171","208,237","210,523","213,490","216,039","216,566","220,003","217,529","216,304","220,519","224,976","230,172","238,357","244,626","249,036"
Ljusdal,"159,212","163,620","161,187","162,765","163,578","169,802","172,897","180,993","189,264","193,738","196,837","201,601","205,759","209,647","212,910","215,896","216,268","215,918","220,187","216,959","216,093","222,413","227,804","230,637","236,064","243,013","244,819"
Gavle,"183,313","187,193","183,836","183,342","184,507","190,893","195,136","202,741","209,840","213,844","217,050","220,414","224,255","227,984","232,967","237,059","240,708","243,261","249,601","248,011","245,561","248,345","254,792","258,323","266,583","275,250","279,363"
Sandviken,"175,941","180,676","177,611","179,905","182,412","187,151","190,902","200,748","209,491","213,875","215,802","220,378","226,207","231,774","236,716","239,469","241,719","243,340","245,757","242,671","241,376","244,480","249,957","251,647","255,174","259,064","260,764"
Soderhamn,"170,696","175,684","172,578","173,767","176,291","181,881","183,630","191,942","201,106","205,565","208,084","208,596","211,120","213,753","215,338","216,945","217,859","218,739","225,079","222,673","221,919","225,925","231,973","234,618","238,889","246,395","250,978"
Bollno,"166,726","171,940","168,472","169,105","171,530","175,261","178,634","186,487","192,306","196,351","198,850","203,898","208,877","212,781","215,730","218,574","221,312","224,151","227,792","224,290","224,086","228,232","233,399","234,730","239,601","246,072","250,920"
Hudiksvall,"170,837","175,406","172,048","171,836","173,977","178,478","182,267","189,827","198,358","202,417","205,166","209,721","212,851","217,064","220,936","223,849","228,034","229,534","234,783","233,894","233,091","237,738","245,019","247,631","254,635","258,927","265,481"
VASTERNORRLANDS LAN,"179,060","182,478","179,465","180,216","182,146","187,605","191,388","198,040","205,642","210,533","214,268","219,090","222,932","227,752","232,442","235,625","238,416","240,078","245,906","243,545","241,129","246,209","252,743","256,612","263,899","270,298","273,792"
Ange,"164,032","170,415","167,148","168,752","170,852","176,979","180,355","188,002","193,013","197,131","199,541","204,558","207,614","212,528","217,124","218,604","219,278","221,524","227,030","224,647","224,683","230,284","233,055","238,244","243,839","250,446","251,444"
Timra,"181,329","184,697","182,379","183,267","186,278","191,201","195,561","201,103","211,166","216,434","220,199","225,522","228,253","232,085","236,372","238,166","240,996","242,030","247,967","245,779","243,302","247,623","254,053","257,629","265,825","272,825","278,246"
Harnosand,"182,038","185,251","181,849","182,317","183,872","188,525","191,254","198,327","205,815","208,536","213,744","217,298","220,734","224,699","228,579","229,887","232,562","233,820","240,767","236,237","233,646","236,620","241,066","242,229","245,291","252,859","255,429"
Sundsvall,"187,850","190,659","187,015","187,276","188,991","194,885","198,821","205,307","213,199","218,788","222,889","228,495","232,432","237,553","241,694","245,790","248,805","250,614","256,307","254,863","253,557","258,677","266,219","271,052","279,391","286,012","290,183"
Kramfors,"163,182","168,196","166,088","167,439","170,337","176,071","180,046","187,671","193,262","198,011","199,643","203,953","208,661","211,970","217,076","219,739","220,689","220,921","225,159","222,554","218,664","223,834","229,327","231,786","238,279","241,731","246,770"
Solleftea,"164,458","170,553","168,207","169,172","170,632","175,451","179,716","186,137","191,858","196,336","198,254","202,383","206,391","210,941","214,413","216,744","217,576","217,987","223,362","218,980","215,905","221,253","227,019","228,987","233,877","240,654","244,398"
Ornskoldsvik,"178,210","181,508","178,273","178,812","180,977","187,049","191,179","197,579","204,831","209,916","213,838","218,705","223,260","228,942","234,111","238,364","241,533","243,806","250,731","247,721","245,428","250,983","257,121","260,737","269,207","275,601","276,331"
JAMTLANDS LAN,"167,718","172,356","169,664","170,363","171,931","176,440","180,632","188,286","194,512","199,349","202,600","207,619","211,470","216,409","219,946","223,650","226,865","227,328","232,043","229,489","227,876","233,142","239,532","243,367","250,263","257,308","261,179"
Ragunda,"156,518","162,234","159,863","162,225","165,251","169,440","173,515","178,658","187,022","189,900","194,135","196,100","201,953","207,515","210,086","211,310","214,223","215,013","214,594","210,810","207,244","211,240","219,318","225,582","228,835","235,064","237,447"
Bracke,"159,779","164,175","159,863","161,314","162,706","167,024","171,582","178,577","184,193","187,993","194,436","199,930","204,596","207,174","212,340","214,335","214,555","214,817","220,907","216,065","211,960","216,665","221,610","224,664","229,022","235,466","238,512"
Krokom,"163,890","168,196","168,075","168,458","170,641","174,933","180,359","188,764","194,908","199,745","202,598","210,966","212,776","219,572","222,690","227,621","231,394","232,318","239,089","238,612","238,407","246,042","253,554","260,541","265,075","273,875","278,708"
Stromsund,"156,376","162,511","160,128","161,400","163,320","166,345","170,492","178,715","183,810","186,322","188,125","192,728","196,313","202,074","205,577","209,706","209,699","209,145","212,805","211,045","208,228","214,438","220,716","222,137","227,439","231,135","234,147"
Are,"156,802","161,402","159,731","162,949","166,279","168,396","172,287","180,774","184,654","188,951","191,019","196,723","202,000","207,579","214,100","219,241","222,432","220,923","225,533","227,348","225,594","230,098","235,714","237,206","244,290","253,624","261,021"
Berg,"145,460","150,725","150,592","152,565","154,685","158,462","165,554","173,857","180,199","183,087","185,816","190,900","194,257","198,995","203,136","206,037","210,767","209,224","213,178","207,275","204,888","212,174","218,770","224,442","229,175","235,977","236,376"
Harjedalen,"155,526","161,540","159,995","162,680","164,007","169,710","173,461","180,363","187,650","190,395","191,786","196,273","200,634","203,229","206,550","207,555","210,763","211,255","216,640","213,223","213,501","219,011","223,394","227,058","235,655","244,611","247,714"
Ostersund,"182,321","185,529","181,849","181,850","181,749","187,263","191,734","199,603","206,866","212,573","215,595","220,252","223,057","227,795","231,031","235,178","239,462","240,642","245,497","242,702","241,273","245,779","252,259","255,555","262,924","269,716","274,158"
VASTERBOTTENS LAN,"177,217","181,369","177,876","178,151","178,777","183,638","187,196","195,536","203,014","207,292","209,767","213,287","216,872","221,428","225,647","229,895","234,255","236,540","241,332","239,945","238,920","244,915","251,038","255,079","263,241","270,294","272,813"
Nordmaling,"161,339","165,423","161,320","162,105","163,896","169,592","173,969","183,772","191,662","194,924","198,461","204,373","206,807","208,932","214,540","217,797","222,232","223,548","226,860","227,793","223,727","226,986","232,258","236,192","244,997","251,972","256,438"
Bjurholm,"150,138","153,914","151,254","152,451","152,998","157,752","162,049","168,344","178,105","179,062","183,093","187,212","192,313","195,230","199,674","199,828","198,113","197,308","205,686","202,257","201,569","205,758","215,087","214,490","224,697","230,045","234,959"
Vindeln,"155,101","159,044","156,949","156,981","159,338","164,493","168,528","174,635","181,485","187,615","188,666","192,435","198,376","204,249","208,485","211,287","214,515","218,516","219,719","216,477","219,060","226,519","235,042","234,332","240,492","249,545","251,659"
Robertsfors,"159,921","161,402","161,982","164,003","165,959","171,206","176,140","185,169","191,290","199,429","201,879","205,283","210,211","213,909","220,280","221,980","227,197","228,460","233,079","230,343","228,912","236,250","243,831","247,649","252,259","256,003","259,496"
Norsjo,"166,159","171,524","169,532","170,125","171,251","176,446","179,871","187,399","192,506","196,653","198,084","203,184","210,802","213,920","217,865","221,087","223,350","223,371","226,990","224,814","223,290","233,202","238,873","242,419","245,640","254,747","252,551"
Mala,"172,822","177,486","175,094","177,260","177,906","184,417","189,251","197,297","202,444","208,199","211,457","214,803","221,266","224,658","229,749","235,723","237,932","235,557","240,161","237,919","234,588","243,228","248,848","254,563","256,034","265,104","266,691"
Storuman,"162,615","166,671","164,764","163,796","166,286","170,270","174,658","181,769","186,484","190,229","192,194","196,023","198,858","202,557","205,535","210,244","214,141","213,760","220,061","220,640","218,183","219,789","225,854","228,368","234,485","242,825","247,008"
Sorsele,"154,108","160,847","160,525","161,400","164,199","168,287","169,153","177,124","184,445","186,322","188,289","189,681","197,602","198,871","202,598","207,642","208,774","210,031","213,915","208,693","207,105","212,396","223,529","228,386","238,447","249,643","248,092"
Dorotea,"159,212","164,314","158,803","162,082","163,021","167,165","170,382","179,019","182,338","186,727","187,585","192,558","199,250","205,207","207,224","211,083","215,063","214,711","217,454","214,991","211,303","218,461","221,619","225,369","230,797","239,976","238,105"
Vannas,"170,412","174,574","172,843","174,416","175,168","181,690","185,455","193,668","201,428","204,223","207,175","211,296","214,383","219,556","224,478","227,893","232,365","235,561","242,401","242,172","240,007","243,159","251,764","255,821","263,734","268,791","269,412"
Vilhelmina,"164,741","170,553","166,883","165,600","167,064","170,942","173,327","183,450","187,840","191,146","191,074","196,047","199,607","202,237","205,231","209,939","210,231","210,047","215,044","212,084","207,243","214,795","219,637","223,643","230,267","239,135","242,669"
Asele,"157,227","162,927","159,333","161,675","161,803","165,868","171,255","177,480","183,127","186,223","187,316","188,831","195,017","195,998","198,353","198,506","201,326","202,316","206,097","205,620","201,440","205,013","213,548","217,797","221,956","226,474","225,571"
Umea,"188,276","191,630","187,147","186,730","185,681","191,331","194,518","203,285","211,523","215,097","218,853","221,773","224,775","229,223","233,578","238,076","242,946","245,199","250,331","248,043","247,344","253,399","259,790","264,559","272,724","279,400","281,862"
Lycksele,"175,374","180,676","176,816","177,908","177,957","183,155","185,963","192,679","201,503","205,617","207,598","210,365","214,698","218,656","222,132","226,030","229,645","231,951","235,936","236,198","234,806","242,204","244,997","248,551","255,209","261,173","260,518"
Skelleftea,"179,344","183,587","180,657","180,843","181,623","186,508","191,152","199,412","206,546","211,295","212,642","216,205","218,991","224,312","228,974","233,004","238,080","240,583","245,863","245,178","244,489","250,395","255,902","259,817","268,630","275,979","279,678"
NORRBOTTENS LAN,"183,881","188,579","185,823","185,691","186,020","191,001","194,773","201,764","208,167","211,677","213,624","217,510","220,641","225,673","229,675","233,688","237,509","240,011","245,964","245,164","243,984","251,290","258,638","264,236","271,772","278,768","280,233"
Arvidsjaur,"168,285","173,604","171,386","171,334","174,091","178,680","182,426","189,041","194,594","200,844","200,509","206,440","211,080","216,725","219,248","224,110","224,197","227,830","235,021","235,629","232,886","238,708","244,146","249,566","255,999","265,000","263,612"
Arjeplog,"163,323","169,444","167,280","169,388","171,545","178,615","182,739","187,610","194,176","199,258","200,095","201,201","203,120","206,543","208,112","211,894","213,709","215,354","225,530","225,206","221,414","230,185","235,723","240,626","249,113","260,714","262,140"
Jokkmokk,"169,278","174,158","173,108","174,812","177,062","181,417","184,222","190,634","195,265","198,443","199,167","202,405","207,012","213,840","216,096","217,625","219,262","219,949","227,893","224,520","222,121","226,227","235,844","240,953","245,362","251,711","254,633"
Overkalix,"163,890","170,137","167,677","168,727","168,233","171,553","176,621","184,073","188,892","190,923","190,762","194,630","200,053","204,314","205,127","209,787","212,779","212,460","217,154","212,090","210,440","218,372","224,239","228,301","237,656","242,482","242,190"
Kalix,"178,493","183,171","181,452","181,609","181,813","185,601","189,309","196,493","201,006","206,454","208,980","210,856","215,671","218,601","220,624","225,911","229,032","230,421","235,779","233,604","230,988","236,837","244,187","248,175","255,115","261,372","265,000"
Overtornea,"159,354","165,007","163,439","161,084","163,813","166,990","171,456","179,452","184,580","185,606","183,113","189,600","196,699","201,483","205,443","207,984","208,874","211,771","211,800","211,949","210,700","216,858","220,665","220,994","227,811","233,693","234,866"
Pajala,"155,951","164,175","161,187","162,048","162,901","166,312","168,449","178,572","183,599","184,432","182,716","188,123","194,545","196,893","200,597","204,159","204,341","204,697","210,903","210,599","210,570","220,888","233,425","239,482","232,277","240,185","237,114"
Gallivare,"191,111","196,344","194,829","195,506","196,820","201,495","205,269","213,172","218,944","222,489","224,667","227,367","230,536","237,464","242,740","247,346","251,631","256,960","262,439","265,810","266,588","274,521","283,909","291,336","300,692","308,640","311,998"
Alvsbyn,"169,987","175,129","173,240","173,181","175,676","178,529","181,984","189,216","195,499","199,934","202,615","205,672","210,138","214,329","216,142","219,469","220,608","221,959","228,786","224,287","222,092","228,544","235,626","239,160","246,884","255,723","254,011"
Lulea,"193,947","196,622","193,240","192,526","192,161","198,693","202,906","209,645","216,191","219,097","221,161","225,599","227,461","232,951","236,644","240,658","244,510","247,083","252,653","252,922","251,916","258,725","267,265","272,545","281,397","288,026","289,954"
Pitea,"184,164","188,857","185,955","185,108","186,000","191,001","195,019","202,269","209,969","214,818","216,941","220,972","223,763","228,001","232,466","237,129","241,003","243,831","250,715","250,136","247,519","254,331","260,833","265,801","274,963","281,822","285,183"
Boden,"184,873","190,243","187,544","187,464","187,225","193,391","197,079","203,303","210,270","213,375","215,887","218,548","222,229","227,289","230,776","232,354","235,698","238,982","245,694","241,286","239,826","245,970","251,704","258,501","266,005","273,716","275,391"
Haparanda,"165,025","169,721","166,883","164,284","164,701","168,457","170,852","178,636","184,695","184,519","184,366","190,267","194,211","199,011","202,318","204,482","209,476","204,851","210,230","206,943","202,360","210,011","213,930","215,385","219,571","226,474","227,112"
Kiruna,"198,342","203,416","201,186","202,028","202,719","208,851","213,475","220,653","224,281","227,862","228,896","235,154","237,233","243,553","250,615","257,904","264,131","267,778","272,288","277,974","281,927","294,061","301,790","307,753","313,573","317,294","316,894"
